CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Sur;28073586;EEI;LA PRINCESA;Calle Mediterráneo, S/n ;Alcorcón;-;28922;672068643;-;Público;
Madrid-Este;28047666;EEI;LA RAMPA;Calle Chile, S/n ;Coslada;-;28822;916741473;916741473;Público;
Madrid-Oeste;28068104;EEI;LA TARARA;Calle Manuel De Falla, 33 ;Majadahonda;-;28222;916029035;916029035;Público;
Madrid-Oeste;28047514;EEI;LA VACA FLORA ;Calle Los Madroños, 7 ;Collado Villalba;-;28400;918518873;918518873;Público;
Madrid-Oeste;28059462;EEI;LAS ARDILLAS;Calle Señora Sergia, S/n ;Torrelodones;-;28250;918592001;918592001;Público;
Madrid-Este;28070299;EEI;LAS BRISAS;Avenida Conde De Belmonte, S/n ;Belmonte de Tajo;-;28390;918727501;-;Público;
Madrid-Oeste;28059589;EEI;LAS CASITAS;Calle Madrid, 38 ;Colmenarejo;-;28270;910849058;-;Público;
Madrid-Este;28043892;EEI;LAS CIGÜEÑAS;Calle De Daoiz Y Velarde, S/n ;Mejorada del Campo;-;28840;916792483;916792834;Público;
Madrid-Sur;28072363;EEI;LAS CIGÜEÑAS;Calle De Lima, 39 ;Fuenlabrada;-;28945;911138536;-;Público;
Madrid-Norte;28044045;EEI;LAS CUMBRES;Avenida De Andalucía, 11 ;San Sebastián de los Reyes;-;28702;916518668;916511249;Público;
Madrid-Sur;28065978;EEI;LAS FLORES;Calle Los Nardos, S/n ;Alcorcón;-;28925;916429947;-;Público;
Madrid-Sur;28073847;EEI;LAS FLORES DE LA FORTUNA;Calle Oporto, 6 ;Leganés;-;28917;914963524;-;Público;
Madrid-Sur;28072284;EEI;LAS GOLONDRINAS;Calle Cuesta De Cazadores, S/n ;Griñón;-;28971;918103254;-;Público;
Madrid-Oeste;28070123;EEI;LAS MENINAS;Calle Miró, 1 ;Valdemorillo;-;28210;918977739;918977739;Público;
Madrid-Sur;28043831;EEI;LOPE DE VEGA;Calle Lope De Vega, 8 ;Leganés;-;28912;916931782;916931782;Público;
Madrid-Este;28044094;EEI;LORETO;Avenida Virgen De Loreto, 22 ;Torrejón de Ardoz;-;28850;916560454;916560454;Público;
Madrid-Sur;28043961;EEI;LOS ABETOS;Calle Alfonso Xiii, 29 ;Parla;-;28982;916983005;916057688;Público;
Madrid-Oeste;28048981;EEI;LOS ALAMOS;Calle Gerardo Diego, S/n ;Pozuelo de Alarcón;-;28223;913514310;913514310;Público;
Madrid-Este;28057532;EEI;LOS ALMENDROS;Calle Portugal, S/n ;Villalbilla;-;28810;918793567;-;Público;
Madrid-Norte;28047502;EEI;LOS ARCOS;Calle De Juan Gris, S/n ;Colmenar Viejo;-;28770;918467133;918452202;Público;
Madrid-Oeste;28049092;EEI;LOS CEDROS;Camino Móstoles, 1 ;Villanueva de la Cañada;-;28691;918155927;-;Público;
Madrid-Este;28046960;EEI;LOS CUENTOS;Calle José Caballero, 2 ;Alcalá de Henares;-;28805;918832770;918832770;Público;
Madrid-Norte;28044239;EEI;LOS ENEBROS;Calle De Mariano Prados, 8 ;Colmenar Viejo;-;28770;918454861;918486386;Público;
Madrid-Sur;28077312;EEI;LOS GORRIONES;Calle De Creta, 2 ;Fuenlabrada;-;28943;-;-;Público;
Madrid-Oeste;28065322;EEI;LOS MADROÑOS;Calle Zafiro, 1 ;Pozuelo de Alarcón;-;28224;913520656;913520656;Público;
Madrid-Este;28061675;EEI;LOS MOLINOS;Calle José Ruiz Azorín, 65 ;Alcalá de Henares;-;28806;918831121;918837581;Público;
Madrid-Sur;28057453;EEI;LOS OLIVOS;Calle Artemisa, 6 ;Valdemoro;-;28341;918018271;918018271;Público;
Madrid-Sur;28058184;EEI;LOS PARAISOS;Paseo Del Prado, S/n ;Valdemoro;-;28343;918084808;918084808;Público;
Madrid-Sur;28044151;EEI;LOS PINGÜINOS;Calle De La Sierra De Albarracín, S/n ;Alcorcón;-;28923;916114216;916114216;Público;
Madrid-Sur;28070196;EEI;LOS PINOS;Calle De Los Pinos, 13 ;Alcorcón;-;28922;918315655;-;Público;
Madrid-Norte;28060658;EEI;LOS PUERTOS;Calle De Los Tintes, 44 ;Colmenar Viejo;-;28770;918456974;918456996;Público;
Madrid-Sur;28043910;EEI;LOS SAUCES;Calle Del Pintor Murillo, S/n ;Móstoles;-;28933;916147788;916147788;Público;
Madrid-Sur;28068074;EEI;LOS SAUCES;Glorieta De Lituania, S/n ;Valdemoro;-;28341;918083102;918080229;Público;
Madrid-Oeste;28068268;EEI;LOS TAJETES;Camino De Manzanares, 28 ;Hoyo de Manzanares;-;28240;918568318;918568318;Público;
Madrid-Oeste;28071012;EEI;LOS TILOS;Paseo De Los Tilos, 20 ;Guadarrama;-;28440;918540678;918540678;Público;
Madrid-Este;28050628;EEI;LUNA LUNERA;Calle De San Sebastián, 1 ;Rivas-Vaciamadrid;-;28523;916669782;916669783;Público;
Madrid-Sur;28044291;EEI;MAFALDA;Avenida De Las Arcas Del Agua, 11 ;Getafe;-;28905;916828147;916019836;Público;
Madrid-Sur;28070214;EEI;MAGO DE OZ;Calle De Los Madroños C/v Los Robles, S/n ;Alcorcón;-;28922;916442764;916442764;Público;
Madrid-Oeste;28047605;EEI;MANANTIAL;Calle Siega, 4 ;Galapagar;-;28260;918583050;918583050;Público;
Madrid-Norte;28057714;EEI;MANZANARES EL REAL Nº 1;Calle Rincón De Aragón, S/n ;Manzanares el Real;-;28410;918530269;-;Público;
Madrid-Sur;28065346;EEI;MARIA LUISA GEFAELL;Calle Cerro De Los Ángeles, 1 ;Villaviciosa de Odón;-;28670;917654108;917654110;Público;
Madrid-Este;28044082;EEI;MARIONETAS;Calle Salvador Allende, 6 ;Torrejón de Ardoz;-;28850;916753606;916753606;Público;
Madrid-Sur;28065309;EEI;MARTA MATA;Calle Torroja, 11 ;Getafe;-;28903;647520796;-;Público;
Madrid-Norte;28047198;EEI;MIRAFLORES DE LA SIERRA;Avenida De La Constitución, 1 ;Miraflores de la Sierra;-;28792;918443795;918265364;Público;
Madrid-Sur;28047010;EEI;MOMO;Calle Carabanchel, S/n ;Parla;-;28981;916053347;916053347;Público;
Madrid-Oeste;28044011;EEI;MONTE ABANTOS;Calle Calvario, 43 ;San Lorenzo de El Escorial;-;28200;918901720;918901720;Público;
